"player.surname","player.givenName","team.name","over15dissies","over20dissies","over25dissies","over30dissies","over35dissies","over40dissies"
"Nash","Conor","Hawthorn","50.00%","37.50%","0.00%","0.00%","0.00%","0.00%"
"Naughton","Aaron","Western Bulldogs","23.81%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Neal-Bullen","Alex","Melbourne","63.64%","13.64%","4.55%","0.00%","0.00%","0.00%"
"Neale","Lachie","Brisbane Lions","100.00%","86.67%","53.33%","26.67%","6.67%","0.00%"
"Nelson","Jackson","West Coast Eagles","26.32%","10.53%","5.26%","0.00%","0.00%","0.00%"
"Newcombe","Jai","Hawthorn","14.29%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Newman","Nic","Carlton","92.86%","50.00%","14.29%","0.00%","0.00%","0.00%"
"Newnes","Jack","Carlton","68.42%","26.32%","5.26%","0.00%","0.00%","0.00%"
"Noble","John","Collingwood","90.91%","40.91%","9.09%","4.55%","0.00%","0.00%"
"O'Brien","Lochie","Carlton","60.00%","20.00%","0.00%","0.00%","0.00%","0.00%"
"O'Brien","Reilly","Adelaide Crows","50.00%","15.00%","0.00%","0.00%","0.00%","0.00%"
"O'Brien","Tim","Hawthorn","15.79%","5.26%","0.00%","0.00%","0.00%","0.00%"
"O'Connor","Mark","Geelong Cats","69.23%","15.38%","7.69%","0.00%","0.00%","0.00%"
"O'Connor","Ronin","Adelaide Crows","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"O'Halloran","Xavier","GWS Giants","35.29%","0.00%","0.00%","0.00%","0.00%","0.00%"
"O'Meara","Jaeger","Hawthorn","94.44%","88.89%","61.11%","33.33%","11.11%","0.00%"
"O'Neill","Xavier","West Coast Eagles","12.50%","0.00%","0.00%","0.00%","0.00%","0.00%"
"O'Riordan","Colin","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Oliver","Clayton","Melbourne","100.00%","100.00%","90.91%","63.64%","40.91%","0.00%"
"Owies","Matthew","Carlton","7.69%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Papley","Tom","Sydney Swans","45.45%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Parfitt","Brandan","Geelong Cats","90.48%","47.62%","9.52%","9.52%","0.00%","0.00%"
"Parish","Darcy","Essendon","100.00%","81.82%","72.73%","54.55%","36.36%","13.64%"
"Parker","Luke","Sydney Swans","100.00%","100.00%","72.73%","36.36%","4.55%","0.00%"
"Parker","Matthew","Richmond","16.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Parks","Luke","Carlton","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Payne","Jack","Brisbane Lions","33.33%","11.11%","0.00%","0.00%","0.00%","0.00%"
"Pearce","Alex","Fremantle","10.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Peatling","James","GWS Giants","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Pedlar","Luke","Adelaide Crows","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Pendlebury","Scott","Collingwood","88.89%","77.78%","44.44%","22.22%","0.00%","0.00%"
"Perkins","Archie","Essendon","25.00%","5.00%","0.00%","0.00%","0.00%","0.00%"
"Perryman","Harry","GWS Giants","100.00%","68.75%","37.50%","0.00%","0.00%","0.00%"
"Petracca","Christian","Melbourne","100.00%","100.00%","77.27%","40.91%","9.09%","0.00%"
"Petrevski-Seton","Sam","Carlton","50.00%","14.29%","0.00%","0.00%","0.00%","0.00%"
"Petruccelle","Jack","West Coast Eagles","11.76%","5.88%","0.00%","0.00%","0.00%","0.00%"
"Petty","Harrison","Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Phillips","Andrew","Essendon","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Phillips","Tom","Hawthorn","86.36%","36.36%","9.09%","0.00%","0.00%","0.00%"
"Phillips","Will","North Melbourne","18.75%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Pickett","Kysaiah","Melbourne","22.73%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Pickett","Marlion","Richmond","55.56%","16.67%","0.00%","0.00%","0.00%","0.00%"
"Pittonet","Marc","Carlton","23.08%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Plowman","Lachie","Carlton","26.32%","5.26%","0.00%","0.00%","0.00%","0.00%"
"Polec","Jared","North Melbourne","40.00%","40.00%","0.00%","0.00%","0.00%","0.00%"
"Poulter","Caleb","Collingwood","72.73%","18.18%","0.00%","0.00%","0.00%","0.00%"
"Powell","Tom","North Melbourne","61.54%","15.38%","7.69%","0.00%","0.00%","0.00%"
"Powell","Wil","Gold Coast Suns","68.18%","45.45%","9.09%","0.00%","0.00%","0.00%"
"Powell-Pepper","Sam","Port Adelaide","64.29%","14.29%","0.00%","0.00%","0.00%","0.00%"
"Prestia","Dion","Richmond","88.89%","66.67%","55.56%","11.11%","0.00%","0.00%"
"Prior","Jaxon","Brisbane Lions","5.88%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Quaynor","Isaac","Collingwood","70.00%","35.00%","10.00%","0.00%","0.00%","0.00%"
"Ralphsmith","Hugo","Richmond","16.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rampe","Dane","Sydney Swans","78.95%","36.84%","5.26%","0.00%","0.00%","0.00%"
"Rankine","Izak","Gold Coast Suns","27.78%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rantall","Jay","Collingwood","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ratugolea","Esava","Geelong Cats","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Redden","Jack","West Coast Eagles","94.44%","94.44%","50.00%","27.78%","5.56%","0.00%"
"Redman","Mason","Essendon","66.67%","42.86%","9.52%","4.76%","0.00%","0.00%"
"Reeves","Ned","Hawthorn","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Reid","Sam","Sydney Swans","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Reid","Sam J.","GWS Giants","7.14%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Reid","Zach","Essendon","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Riccardi","Jake","GWS Giants","22.22%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rich","Daniel","Brisbane Lions","100.00%","95.45%","72.73%","13.64%","0.00%","0.00%"
"Richards","Ed","Western Bulldogs","40.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ridley","Jordan","Essendon","90.48%","61.90%","33.33%","9.52%","4.76%","0.00%"
"Riewoldt","Jack","Richmond","13.64%","4.55%","0.00%","0.00%","0.00%","0.00%"
"Rioli","Daniel","Richmond","36.84%","15.79%","0.00%","0.00%","0.00%","0.00%"
"Rioli","Maurice","Richmond","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rivers","Trent","Melbourne","54.55%","13.64%","0.00%","0.00%","0.00%","0.00%"
"Robertson","Deven","Brisbane Lions","46.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Robinson","Mitch","Brisbane Lions","65.00%","50.00%","20.00%","5.00%","0.00%","0.00%"
"Rockliff","Tom","Port Adelaide","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rohan","Gary","Geelong Cats","11.11%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ronke","Ben","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Rosas","Malcolm","Gold Coast Suns","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ross","Jack","Richmond","33.33%","13.33%","6.67%","0.00%","0.00%","0.00%"
"Ross","Sebastian","St Kilda","90.00%","60.00%","20.00%","5.00%","0.00%","0.00%"
"Rotham","Josh","West Coast Eagles","68.42%","21.05%","0.00%","0.00%","0.00%","0.00%"
"Roughead","Jordan","Collingwood","28.57%","9.52%","0.00%","0.00%","0.00%","0.00%"
"Rowbottom","James","Sydney Swans","68.75%","25.00%","0.00%","0.00%","0.00%","0.00%"
"Rowe","James","Adelaide Crows","26.32%","5.26%","0.00%","0.00%","0.00%","0.00%"
"Rowell","Matt","Gold Coast Suns","41.67%","8.33%","0.00%","0.00%","0.00%","0.00%"
"Rozee","Connor","Port Adelaide","68.42%","21.05%","0.00%","0.00%","0.00%","0.00%"
"Ruscoe","Trey","Collingwood","33.33%","33.33%","0.00%","0.00%","0.00%","0.00%"
"Ryan","Liam","West Coast Eagles","14.29%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ryan","Luke","Fremantle","100.00%","63.16%","26.32%","0.00%","0.00%","0.00%"
"Ryan","Samson","Richmond","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ryder","Paddy","St Kilda","8.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Saad","Adam","Carlton","86.36%","45.45%","13.64%","0.00%","0.00%","0.00%"
"Salem","Christian","Melbourne","95.24%","80.95%","61.90%","19.05%","4.76%","0.00%"
"Schache","Josh","Western Bulldogs","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Schoenberg","Harry","Adelaide Crows","77.27%","36.36%","4.55%","4.55%","0.00%","0.00%"
"Schultz","Lachie","Fremantle","15.00%","5.00%","0.00%","0.00%","0.00%","0.00%"
"Scott","Anthony","Western Bulldogs","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Scott","Bailey","North Melbourne","41.18%","11.76%","5.88%","0.00%","0.00%","0.00%"
"Scrimshaw","Jack","Hawthorn","85.00%","60.00%","30.00%","5.00%","0.00%","0.00%"
"Seedsman","Paul","Adelaide Crows","100.00%","95.45%","63.64%","18.18%","9.09%","0.00%"
"Selwood","Joel","Geelong Cats","90.48%","71.43%","52.38%","9.52%","4.76%","0.00%"
"Serong","Caleb","Fremantle","100.00%","59.09%","31.82%","22.73%","9.09%","0.00%"
"Setterfield","Will","Carlton","75.00%","12.50%","0.00%","0.00%","0.00%","0.00%"
"Sexton","Alex","Gold Coast Suns","23.81%","4.76%","0.00%","0.00%","0.00%","0.00%"
"Sharman","Cooper","St Kilda","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Sharp","Harry","Brisbane Lions","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Sharp","Jeremy","Gold Coast Suns","77.78%","44.44%","22.22%","22.22%","0.00%","0.00%"
"Sheed","Dom","West Coast Eagles","95.45%","86.36%","54.55%","31.82%","13.64%","4.55%"
"Sheppard","Brad","West Coast Eagles","70.00%","35.00%","5.00%","0.00%","0.00%","0.00%"
"Shiel","Dylan","Essendon","85.71%","42.86%","0.00%","0.00%","0.00%","0.00%"
"Shiels","Liam","Hawthorn","95.24%","66.67%","19.05%","0.00%","0.00%","0.00%"
"Shipley","Nick","GWS Giants","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Sholl","Lachlan","Adelaide Crows","68.42%","42.11%","10.53%","5.26%","0.00%","0.00%"
"Short","Jayden","Richmond","100.00%","95.45%","50.00%","13.64%","0.00%","0.00%"
"Shuey","Luke","West Coast Eagles","100.00%","57.14%","42.86%","14.29%","0.00%","0.00%"
"Sidebottom","Steele","Collingwood","95.24%","90.48%","47.62%","14.29%","0.00%","0.00%"
"Sier","Brayden","Collingwood","42.86%","28.57%","0.00%","0.00%","0.00%","0.00%"
"Silvagni","Jack","Carlton","53.33%","13.33%","6.67%","0.00%","0.00%","0.00%"
"Simpkin","Jy","North Melbourne","100.00%","95.45%","63.64%","36.36%","4.55%","0.00%"
"Simpson","Sam","Geelong Cats","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Sinclair","Callum","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Sinclair","Jack","St Kilda","95.24%","61.90%","19.05%","0.00%","0.00%","0.00%"
"Sloane","Rory","Adelaide Crows","100.00%","66.67%","33.33%","5.56%","0.00%","0.00%"
"Smith","Bailey","Western Bulldogs","95.45%","72.73%","59.09%","13.64%","4.55%","0.00%"
"Smith","Brodie","Adelaide Crows","85.71%","66.67%","28.57%","0.00%","0.00%","0.00%"
"Smith","Devon","Essendon","36.84%","10.53%","5.26%","0.00%","0.00%","0.00%"
"Smith","Isaac","Geelong Cats","100.00%","85.71%","33.33%","9.52%","0.00%","0.00%"
"Smith","Joel","Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Smith","Roarke","Western Bulldogs","20.00%","10.00%","0.00%","0.00%","0.00%","0.00%"
"Smith","Zac","Gold Coast Suns","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Snelling","Will","Essendon","63.16%","36.84%","5.26%","0.00%","0.00%","0.00%"
"Spargo","Charlie","Melbourne","18.18%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Sparrow","Tom","Melbourne","11.11%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Spicer","Phoenix","North Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Sproule","Zach","GWS Giants","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Stack","Sydney","Richmond","57.14%","28.57%","14.29%","0.00%","0.00%","0.00%"
"Stanley","Rhys","Geelong Cats","56.25%","18.75%","0.00%","0.00%","0.00%","0.00%"
"Starcevich","Brandon","Brisbane Lions","18.18%","4.55%","0.00%","0.00%","0.00%","0.00%"
"Steele","Jack","St Kilda","100.00%","95.45%","81.82%","50.00%","22.73%","0.00%"
"Stein","Jake","GWS Giants","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Stephens","Dylan","Sydney Swans","14.29%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Stephenson","Jaidyn","North Melbourne","89.47%","21.05%","10.53%","10.53%","5.26%","0.00%"
"Stewart","James","Essendon","25.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Stewart","Tom","Geelong Cats","100.00%","95.00%","55.00%","5.00%","0.00%","0.00%"
"Stocker","Liam","Carlton","47.06%","5.88%","0.00%","0.00%","0.00%","0.00%"
"Stone","Conor","GWS Giants","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Strachan","Kieran","Adelaide Crows","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Stringer","Jake","Essendon","55.56%","27.78%","11.11%","0.00%","0.00%","0.00%"
"Sturt","Sam","Fremantle","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Swallow","David","Gold Coast Suns","90.48%","76.19%","33.33%","4.76%","0.00%","0.00%"
"Sweet","Jordon","Western Bulldogs","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Switkowski","Sam","Fremantle","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Taberner","Matt","Fremantle","12.50%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Taranto","Tim","GWS Giants","100.00%","86.36%","72.73%","27.27%","9.09%","0.00%"
"Tarrant","Robbie","North Melbourne","40.00%","10.00%","0.00%","0.00%","0.00%","0.00%"
"Taylor","Curtis","North Melbourne","36.84%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Taylor","Lewis","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Taylor","Sam","GWS Giants","41.18%","17.65%","0.00%","0.00%","0.00%","0.00%"
"Thilthorpe","Riley","Adelaide Crows","21.43%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Thomas","Josh","Collingwood","40.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Thomas","Tarryn","North Melbourne","85.71%","33.33%","4.76%","0.00%","0.00%","0.00%"
"Tohill","Anton","Collingwood","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Tomlinson","Adam","Melbourne","57.14%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Townsend","Jacob","Gold Coast Suns","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Treacy","Josh","Fremantle","6.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Treloar","Adam","Western Bulldogs","92.31%","76.92%","53.85%","7.69%","7.69%","0.00%"
"Tucker","Darcy","Fremantle","75.00%","37.50%","6.25%","0.00%","0.00%","0.00%"
"Tuohy","Zach","Geelong Cats","84.21%","68.42%","52.63%","10.53%","0.00%","0.00%"
"Turner","Kayne","North Melbourne","22.73%","4.55%","4.55%","0.00%","0.00%","0.00%"
"Tyson","Dom","North Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ugle-Hagan","Jamarra","Western Bulldogs","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"vandenBerg","Aaron","Melbourne","25.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Vandermeer","Laitham","Western Bulldogs","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Vardy","Nathan","West Coast Eagles","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Viney","Jack","Melbourne","91.67%","50.00%","16.67%","8.33%","0.00%","0.00%"
"Vlastuin","Nick","Richmond","58.33%","41.67%","8.33%","8.33%","0.00%","0.00%"
"Walker","Brandon","Fremantle","10.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Walker","Josh","North Melbourne","14.29%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Walker","Taylor","Adelaide Crows","41.18%","11.76%","0.00%","0.00%","0.00%","0.00%"
"Wallis","Mitch","Western Bulldogs","16.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Walsh","Sam","Carlton","100.00%","100.00%","81.82%","54.55%","18.18%","0.00%"
"Walters","Michael","Fremantle","31.25%","18.75%","0.00%","0.00%","0.00%","0.00%"
"Ward","Callan","GWS Giants","100.00%","72.73%","31.82%","9.09%","4.55%","0.00%"
"Warner","Chad","Sydney Swans","66.67%","33.33%","0.00%","0.00%","0.00%","0.00%"
"Waterman","Alec","Essendon","7.69%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Waterman","Jake","West Coast Eagles","35.71%","7.14%","0.00%","0.00%","0.00%","0.00%"
"Watson","Tobe","Fremantle","18.18%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Webster","Jimmy","St Kilda","60.00%","25.00%","0.00%","0.00%","0.00%","0.00%"
"Weideman","Sam","Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Weightman","Cody","Western Bulldogs","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Weitering","Jacob","Carlton","59.09%","27.27%","0.00%","0.00%","0.00%","0.00%"
"Weller","Lachie","Gold Coast Suns","92.31%","30.77%","15.38%","0.00%","0.00%","0.00%"
"West","Connor","West Coast Eagles","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"West","Rhylee","Western Bulldogs","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Western","Joel","Fremantle","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Whitfield","Lachie","GWS Giants","93.33%","86.67%","53.33%","33.33%","6.67%","0.00%"
"Wicks","Sam","Sydney Swans","14.29%","4.76%","0.00%","0.00%","0.00%","0.00%"
"Wilkie","Callum","St Kilda","54.55%","18.18%","4.55%","0.00%","0.00%","0.00%"
"Williams","Bailey","Western Bulldogs","63.16%","21.05%","5.26%","0.00%","0.00%","0.00%"
"Williams","Bailey J.","West Coast Eagles","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Williams","Dylan","Port Adelaide","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Williams","Zac","Carlton","78.57%","50.00%","14.29%","0.00%","0.00%","0.00%"
"Williamson","Tom","Carlton","9.09%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Wilson","Nathan","Fremantle","83.33%","27.78%","0.00%","0.00%","0.00%","0.00%"
"Wilson","Tom","Collingwood","25.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Winder","Isiah","West Coast Eagles","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Wines","Ollie","Port Adelaide","100.00%","100.00%","95.45%","63.64%","31.82%","9.09%"
"Wingard","Chad","Hawthorn","87.50%","75.00%","31.25%","18.75%","0.00%","0.00%"
"Witherden","Alex","West Coast Eagles","88.89%","66.67%","33.33%","22.22%","0.00%","0.00%"
"Witts","Jarrod","Gold Coast Suns","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Wood","Easton","Western Bulldogs","27.27%","9.09%","0.00%","0.00%","0.00%","0.00%"
"Wood","Mason","St Kilda","33.33%","11.11%","0.00%","0.00%","0.00%","0.00%"
"Woodcock","Boyd","Port Adelaide","28.57%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Worpel","James","Hawthorn","95.00%","55.00%","30.00%","5.00%","0.00%","0.00%"
"Worrell","Josh","Adelaide Crows","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Wright","Peter","Essendon","30.00%","5.00%","0.00%","0.00%","0.00%","0.00%"
"Xerri","Tristan","North Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Yeo","Elliot","West Coast Eagles","91.67%","66.67%","25.00%","16.67%","0.00%","0.00%"
"Young","Hayden","Fremantle","75.00%","12.50%","0.00%","0.00%","0.00%","0.00%"
"Young","Lachie","North Melbourne","33.33%","6.67%","0.00%","0.00%","0.00%","0.00%"
"Young","Lewis","Western Bulldogs","28.57%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Zaharakis","David","Essendon","33.33%","11.11%","0.00%","0.00%","0.00%","0.00%"
"Zerk-Thatcher","Brandon","Essendon","16.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ziebell","Jack","North Melbourne","100.00%","80.95%","47.62%","23.81%","9.52%","0.00%"
"Zorko","Dayne","Brisbane Lions","95.24%","85.71%","38.10%","14.29%","4.76%","0.00%"
"Zurhaar","Cameron","North Melbourne","20.00%","5.00%","0.00%","0.00%","0.00%","0.00%"
NA,NA,NA,NA,NA,NA,NA,NA,NA
